Task_3.py :-

$jupyter nbconvert --to script Task_3.ipynb
$python -m cProfile Task_3.py
         2986275 function calls (2952765 primitive calls) in 48.169 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      776    0.247    0.000    0.358    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1142    0.001    0.000    0.080    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      776    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
      106    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        4    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:277(DibImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.005    0.005 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        3    0.000    0.000    0.068    0.023 Image.py:2095(save)
        1    0.000    0.000    0.000    0.000 Image.py:2557(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2566(ImageTransformHandler)
        6    0.000    0.000    0.000    0.000 Image.py:2588(_check_size)
        3    0.000    0.000    0.000    0.000 Image.py:2606(new)
        3    0.000    0.000    0.000    0.000 Image.py:2683(frombuffer)
        1    0.000    0.000    0.017    0.017 Image.py:27(<module>)
        7    0.000    0.000    0.000    0.000 Image.py:3075(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3090(register_mime)
        7    0.000    0.000    0.000    0.000 Image.py:3101(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3112(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3124(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3135(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3294(Exif)
        3    0.000    0.000    0.007    0.002 Image.py:336(preinit)
        3    0.000    0.000    0.000    0.000 Image.py:431(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:462(_E)
        1    0.000    0.000    0.000    0.000 Image.py:503(Image)
        9    0.000    0.000    0.000    0.000 Image.py:519(__init__)
       12    0.000    0.000    0.000    0.000 Image.py:551(size)
        6    0.000    0.000    0.000    0.000 Image.py:555(_new)
        3    0.000    0.000    0.001    0.000 Image.py:611(_copy)
        3    0.000    0.000    0.001    0.000 Image.py:617(_ensure_mutable)
        6    0.000    0.000    0.000    0.000 Image.py:804(load)
        1    0.000    0.000    0.000    0.000 Image.py:91(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:95(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:313(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:339(Parser)
        3    0.000    0.000    0.056    0.019 ImageFile.py:478(_save)
        1    0.000    0.000    0.000    0.000 ImageFile.py:572(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:583(PyDecoder)
        3    0.000    0.000    0.000    0.000 ImageFile.py:79(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:338(JpegImageFile)
        1    0.000    0.000    0.004    0.004 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:72(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
       15    0.000    0.000    0.003    0.000 PngImagePlugin.py:1011(putchunk)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1022(_idat)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:1025(__init__)
        3    0.000    0.000    0.003    0.001 PngImagePlugin.py:1029(write)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1033(_fdat)
        3    0.000    0.000    0.057    0.019 PngImagePlugin.py:1178(_save)
       30    0.000    0.000    0.000    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:265(__init__)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:268(add)
        3    0.000    0.000    0.000    0.000 PngImagePlugin.py:311(add_text)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:34(<module>)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        2    0.000    0.000    0.001    0.000 Task_3.py:49(butter_lowpass)
        1    0.000    0.000    0.000    0.000 Task_3.py:55(butter_lowpass_filter)
        1    0.000    0.000   48.211   48.211 Task_3.py:7(<module>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1665(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:289(IFDRational)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:361(_delegate)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:403(ImageFileDirectory_v2)
        1    0.000    0.000    0.001    0.001 TiffImagePlugin.py:41(<module>)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:624(_register_loader)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:625(decorator)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:635(_register_writer)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:636(decorator)
        8    0.000    0.000    0.000    0.000 TiffImagePlugin.py:642(_register_basic)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:893(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:992(TiffImageFile)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      105    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:361(_populate)
        2    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       49    0.001    0.000    0.614    0.013 __init__.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:10(__init__)
       31    0.000    0.000    0.000    0.000 __init__.py:100(__hash__)
        1    0.000    0.000    0.000    0.000 __init__.py:103(_FFTModule)
        1    0.000    0.000    0.000    0.000 __init__.py:104(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:104(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:105(EmptyDataError)
        1    0.000    0.000    0.151    0.151 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1073(_comp_method_SERIES)
        1    0.000    0.000    0.025    0.025 __init__.py:109(<module>)
       10    0.000    0.000    0.960    0.096 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
      594    0.001    0.000    0.273    0.000 __init__.py:1105(<genexpr>)
      593    0.002    0.000    0.273    0.000 __init__.py:111(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ParserWarning)
        1    0.000    0.000    0.010    0.010 __init__.py:113(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        6    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        4    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        6    0.000    0.000    0.000    0.000 __init__.py:1180(get_backend)
        1    0.000    0.000    0.012    0.012 __init__.py:119(<module>)
     1831    0.001    0.000    0.002    0.000 __init__.py:1198(is_interactive)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
       35    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(<dictcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:1245(_bool_method_SERIES)
       35    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
      621    0.001    0.000    0.002    0.000 __init__.py:1268(is_math_text)
     2085    0.002    0.000    0.006    0.000 __init__.py:1281(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
       12    0.000    0.000    0.001    0.000 __init__.py:1292(_check_1d)
        1    0.000    0.000    0.000    0.000 __init__.py:13(register)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       36    0.000    0.000    0.004    0.000 __init__.py:1329(_add_data_doc)
       44    0.000    0.000    0.002    0.000 __init__.py:1330(_flex_method_SERIES)
       36    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
    18186    0.005    0.000    0.008    0.000 __init__.py:1356(debug)
       70    0.001    0.000    0.007    0.000 __init__.py:1364(_preprocess_data)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
       68    0.000    0.000    0.006    0.000 __init__.py:1463(_arith_method_FRAME)
        2    0.000    0.000    0.016    0.008 __init__.py:15(<module>)
        1    0.000    0.000    0.014    0.014 __init__.py:151(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       12    0.000    0.000    0.002    0.000 __init__.py:1513(_flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:153(MergeError)
        1    0.000    0.000    0.009    0.009 __init__.py:155(_check_versions)
       12    0.000    0.000    0.000    0.000 __init__.py:1554(_comp_method_FRAME)
       78    0.000    0.000    0.000    0.000 __init__.py:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:159(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
