Task_1.py :-
$ jupyter nbconvert --to script Task_1.ipynb
$ python -m cProfile Task_1.py

         349587642 function calls (349577830 primitive calls) in 262.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:2111(_OrderedSet)
       17    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       10    0.000    0.000    0.000    0.000 __init__.py:216(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
       17    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        8    0.000    0.000    0.000    0.000 __init__.py:2254(_check_in_list)
       19    0.000    0.000    0.000    0.000 __init__.py:2271(_check_shape)
       57    0.000    0.000    0.000    0.000 __init__.py:2292(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:232(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:2332(_classproperty)
        1    0.000    0.000    0.000    0.000 __init__.py:234(silent_list)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
  105/104    0.000    0.000    0.003    0.000 __init__.py:235(wrapper)
        1    0.000    0.000    0.006    0.006 __init__.py:24(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:24(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
       80    0.000    0.000    0.000    0.000 __init__.py:244(_get_frame_op_default_axis)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:250(ExecutableNotFoundError)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        1    0.000    0.000    0.000    0.000 __init__.py:260(IgnoredKeywordWarning)
      108    0.000    0.000    0.000    0.000 __init__.py:269(_get_opstr)
        1    0.000    0.000    0.000    0.000 __init__.py:270(LogRecord)
        1    0.000    0.000    0.035    0.035 __init__.py:274(load)
        4    0.000    0.000    0.021    0.005 __init__.py:299(loads)
        6    0.000    0.000   10.427    1.738 __init__.py:3(<module>)
      192    0.000    0.000    0.001    0.000 __init__.py:30(set_function_name)
        1    0.000    0.000    0.000    0.000 __init__.py:306(_CountryTimezoneDict)
       41    0.006    0.000    0.016    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
      192    0.000    0.000    0.000    0.000 __init__.py:323(_get_op_name)
        1    0.000    0.000    0.000    0.000 __init__.py:33(ParserError)
        2    0.004    0.002  196.069   98.034 __init__.py:33(open_workbook)
        2    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:365(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:374(__getattr__)
        4    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:381(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyDLL)
      214    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:391(_FixedOffset)
        1    0.000    0.000    0.000    0.000 __init__.py:396(WinDLL)
        1    0.000    0.000    0.117    0.117 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:405(HRESULT)
        1    0.000    0.000    0.000    0.000 __init__.py:409(PercentStyle)
        1    0.000    0.000    0.045    0.045 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:415(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:418(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:424(StrFormatStyle)
        8    0.000    0.000    0.000    0.000 __init__.py:426(_asdict)
        1    0.000    0.000    0.000    0.000 __init__.py:427(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:431(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:433(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:437(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:447(_get_xdg_cache_dir)
        2    0.000    0.000    0.207    0.103 __init__.py:45(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:456(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:457(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:47(DtypeWarning)
        2    0.000    0.000    0.001    0.001 __init__.py:474(_get_data_path)
        1    0.000    0.000    0.002    0.002 __init__.py:486(get_configdir)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
        4    0.000    0.000    0.034    0.009 __init__.py:5(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:5(HTTPStatus)
        1    0.000    0.000    0.000    0.000 __init__.py:502(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:505(get_cachedir)
        1    0.000    0.000    0.001    0.001 __init__.py:516(get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:522(maxdict)
        1    0.000    0.000    0.000    0.000 __init__.py:531(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:537(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Stack)
        1    0.000    0.000    0.003    0.003 __init__.py:569(matplotlib_fname)
        1    0.000    0.000    1.189    1.189 __init__.py:58(<module>)
        4    0.000    0.000    0.002    0.000 __init__.py:590(gen_candidates)
        1    0.000    0.000    0.000    0.000 __init__.py:632(BufferingFormatter)
        1    0.000    0.000    0.000    0.000 __init__.py:637(RcParams)
        4    0.000    0.000    0.003    0.001 __init__.py:652(__init__)
      602    0.002    0.000    0.017    0.000 __init__.py:655(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:674(Filter)
        8    0.000    0.000    0.000    0.000 __init__.py:675(_get_method_wrappers)
      352    0.000    0.000    0.000    0.000 __init__.py:686(__getitem__)
        4    0.000    0.000    0.363    0.091 __init__.py:7(<module>)
        1    0.000    0.000    0.020    0.020 __init__.py:71(search_function)
        1    0.000    0.000    0.000    0.000 __init__.py:711(Filterer)
       16    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:72(_import_lzma)
      307    0.000    0.000    0.000    0.000 __init__.py:722(__iter__)
        8    0.000    0.000    0.031    0.004 __init__.py:722(_create_methods)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.001    0.001 __init__.py:746(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:747(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:758(is_url)
        1    0.000    0.000    0.000    0.000 __init__.py:764(Grouper)
        4    0.000    0.000    0.003    0.001 __init__.py:770(_open_file_or_url)
      593    0.014    0.000    1.029    0.002 __init__.py:78(open_resource)
      116    0.000    0.000    0.000    0.000 __init__.py:782(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:783(_addHandlerRef)
       92    0.000    0.000    0.000    0.000 __init__.py:784(<lambda>)
        8    0.000    0.000    0.000    0.000 __init__.py:785(<dictcomp>)
