Task_2.py :-
$ jupyter nbconvert --to script Task_2.ipynb
$ python -m cProfile Task_2.py
         590484 function calls (581087 primitive calls) in 7.588 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 Image.py:462(_E)
        1    0.000    0.000    0.000    0.000 Image.py:503(Image)
        1    0.000    0.000    0.000    0.000 Image.py:91(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:95(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.042    0.042    7.588    7.588 Task_2.py:7(<module>)
        1    0.028    0.028    7.546    7.546 Task_2.py:7(main)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      105    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:361(_populate)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       35    0.001    0.000    0.851    0.024 __init__.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:104(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:104(_maybe_match_name)
        1    0.000    0.000    0.000    0.000 __init__.py:105(EmptyDataError)
        1    0.000    0.000    0.196    0.196 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1073(_comp_method_SERIES)
        6    0.000    0.000    0.027    0.004 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
      594    0.001    0.000    0.357    0.001 __init__.py:1105(<genexpr>)
      593    0.003    0.000    0.356    0.001 __init__.py:111(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1198(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
       14    0.000    0.000    0.000    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(<dictcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:1245(_bool_method_SERIES)
       14    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
       19    0.000    0.000    0.000    0.000 __init__.py:1281(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       44    0.000    0.000    0.002    0.000 __init__.py:1330(_flex_method_SERIES)
       15    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        9    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.001    0.001 __init__.py:14(<module>)
       68    0.000    0.000    0.006    0.000 __init__.py:1463(_arith_method_FRAME)
        1    0.000    0.000    0.010    0.010 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       12    0.000    0.000    0.002    0.000 __init__.py:1513(_flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:153(MergeError)
        1    0.000    0.000    0.009    0.009 __init__.py:155(_check_versions)
       12    0.000    0.000    0.000    0.000 __init__.py:1554(_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        2    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        9    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
       22    0.000    0.000    0.000    0.000 __init__.py:1624(_arith_method_SPARSE_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1665(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
       96    0.000    0.000    0.000    0.000 __init__.py:180(make_invalid_op)
       16    0.000    0.000    0.000    0.000 __init__.py:1830(_str_equal)
        6    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
       16    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       54    0.000    0.000    0.000    0.000 __init__.py:1873(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        6    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
       34    0.000    0.000    0.000    0.000 __init__.py:1894(<genexpr>)
       14    0.000    0.000    0.000    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        3    0.000    0.000    0.016    0.005 __init__.py:2(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       90    0.000    0.000    0.000    0.000 __init__.py:203(_gen_eval_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:2057(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:206(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
       14    0.000    0.000    0.001    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
        1    0.000    0.000    0.000    0.000 __init__.py:2111(_OrderedSet)
       17    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
       10    0.000    0.000    0.000    0.000 __init__.py:216(_logged_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
